src,dst
b5700,b1434
b1434,b1983
b1983,b1433
b1433,b1440
b1440,b1442
b1442,b1980
b1980,b5697
b5697,b5702
b5702,b5703
b5703,b1431
b1431,b7745
b7745,b7740
b7740,b1959
b1959,b7741
b7741,b7742
b7742,b7743
b7743,b7744
b7744,b7739
b7739,b1952
b1952,b1953
b1953,b11262
b11262,b7731
b7731,b1962
b1962,b1963
b1963,b7730
b7730,b5701
b5701,b7732
b7732,b7733
b7733,b7734
b7734,b7735
b7735,b7736
b7736,b7737
b7737,b7738
b7738,b7773
b7773,b7765
b7765,b7766
b7766,b7767
b7767,b7768
b7768,b7769
b7769,b7770
b7770,b7771
b7771,b7772
b7772,b7764
b7764,b7774
b7774,b7775
b7775,b7776
b7776,b7777
b7777,b7746
b7746,b7747
b7747,b7748
b7748,b5688
b5688,b2012
b2012,b2015
b2015,b7749
b7749,b5690
b5690,b7762
b7762,b7763
b7763,b2001
b2001,b5699
b5699,b1430
b1430,b11263
b11263,b7761
b7761,b7760
b7760,b7759
b7759,b7758
b7758,b7757
b7757,b7756
b7756,b7755
b7755,b7754
b7754,b7753
b7753,b7752
b7752,b7751
b7751,b7750
b7750,b1480
b1480,b7697
b7697,b7698
b7698,b7699
b7699,b7687
b7687,b7688
b7688,b11266
b11266,b1916
b1916,b1920
b1920,b11265
b11265,b11267
b11267,b7696
b7696,b7583
b7583,b8370
b8370,b8371
b8371,b8372
b8372,b8373
b8373,b8374
b8374,b8375
b8375,b8376
b8376,b8377
b8377,b8369
b8369,b8346
b8346,b8347
b8347,b8348
b8348,b8362
b8362,b8363
b8363,b8364
b8364,b8365
b8365,b8354
b8354,b7658
b7658,b8349
b8349,b8350
b8350,b8351
b8351,b8352
b8352,b8353
b8353,b8355
b8355,b8356
b8356,b8357
b8357,b8358
b8358,b8359
b8359,b8360
b8360,b8361
b8361,b1457
b1457,b11260
b11260,b11261
b11261,b11259
b11259,b1458
b1458,b7714
b7714,b7715
b7715,b7716
b7716,b7717
b7717,b11268
b11268,b11264
b11264,b7718
b7718,b11269
b11269,b1924
b1924,b7711
b7711,b7703
b7703,b7704
b7704,b7705
b7705,b7706
b7706,b7707
b7707,b7708
b7708,b7709
b7709,b7710
b7710,b7702
b7702,b7712
b7712,b7713
b7713,b7695
b7695,b7701
b7701,b7700
b7700,b7729
b7729,b7728
b7728,b7727
b7727,b7726
b7726,b7725
b7725,b7724
b7724,b7723
b7723,b7722
b7722,b7721
b7721,b7720
b7720,b7719
b7719,b7886
b7886,b7878
b7878,b7879
b7879,b7880
b7880,b7881
b7881,b7882
b7882,b7883
b7883,b7884
b7884,b7885
b7885,b7877
b7877,b7887
b7887,b1222
b1222,b1224
b1224,b1226
b1226,b1231
b1231,b1239
b1239,b1243
b1243,b1213
b1213,b7898
b7898,b7899
b7899,b7900
b7900,b7901
b7901,b7902
b7902,b7903
b7903,b1210
b1210,b1212
b1212,b1244
b1244,b1216
b1216,b1220
b1220,b7872
b7872,b7873
b7873,b7874
b7874,b7875
b7875,b7876
b7876,b7842
b7842,b7870
b7870,b7871
b7871,b1256
b1256,b1260
b1260,b1264
b1264,b1265
b1265,b1266
b1266,b1267
b1267,b7869
b7869,b7843
b7843,b7844
b7844,b7845
b7845,b7846
b7846,b7847
b7847,b7848
b7848,b7849
b7849,b7863
b7863,b1247
b1247,b1250
b1250,b1252
b1252,b7858
b7858,b7859
b7859,b7860
b7860,b7861
b7861,b7862
b7862,b7897
b7897,b7864
b7864,b7865
b7865,b7866
b7866,b7867
b7867,b7868
b7868,b1157
b1157,b1134
b1134,b1135
b1135,b1136
b1136,b1139
b1139,b1141
b1141,b1142
b1142,b1153
b1153,b1155
b1155,b1132
b1132,b1158
b1158,b1160
b1160,b1162
b1162,b1163
b1163,b1164
b1164,b1165
b1165,b2037
b2037,b8337
b8337,b1697
b1697,b8457
b8457,b8458
b8458,b11452
b11452,b5588
b5588,b1127
b1127,b2041
b2041,b2047
b2047,b1129
b1129,b7890
b7890,b7910
b7910,b1191
b1191,b1194
b1194,b1196
b1196,b1197
b1197,b1199
b1199,b7888
b7888,b7889
b7889,b7909
b7909,b5612
b5612,b7891
b7891,b7892
b7892,b7893
b7893,b7894
b7894,b7895
b7895,b7896
b7896,b7850
b7850,b7908
b7908,b7907
b7907,b7906
b7906,b7905
b7905,b7904
b7904,b11426
b11426,b1184
b1184,b1180
b1180,b1175
b1175,b1173
b1173,b1166
b1166,b5609
b5609,b5607
b5607,b7802
b7802,b7794
b7794,b7795
b7795,b7796
b7796,b7797
b7797,b7798
b7798,b7799
b7799,b7800
b7800,b7801
b7801,b1386
b1386,b7803
b7803,b7804
b7804,b7805
b7805,b7806
b7806,b7807
b7807,b7808
b7808,b7809
b7809,b11377
b11377,b1346
b1346,b1347
b1347,b1350
b1350,b1352
b1352,b1353
b1353,b1357
b1357,b1359
b1359,b1361
b1361,b1390
b1390,b11386
b11386,b1362
b1362,b1364
b1364,b1367
b1367,b1368
b1368,b1369
b1369,b1370
b1370,b2022
b2022,b7793
b7793,b1394
