lo_id,tags,type,language,requires_mastery,pedagogical_weight,duration_min,accuracy
b5700,152|147|150|156|176|153|149|151,question,en,0.0,1.0,0.5,0.5
b1434,183|182|181|56|54|52,question,en,0.0,1.0,0.5,0.5
b1983,184|63|52|56|54,question,en,0.0,1.0,0.5,0.5
b1433,183|53|182|181|56|54,question,en,0.0,1.0,0.5,0.5
b1440,183|53|182|181|56|55,question,en,0.0,1.0,0.5,0.5
b1442,183|184|55|54|58,question,en,0.0,1.0,0.5,0.5
b1980,52|56|184|64,question,en,0.0,1.0,0.5,0.5
b5697,147|179|148|150|155|176|153|149|151,question,en,0.0,1.0,0.5,0.5
b5702,147|148|155|176|153|149|151,question,en,0.0,1.0,0.5,0.5
b5703,147|150|146|176|153|149|151,question,en,0.0,1.0,0.5,0.5
b1431,184|182|181|56|54|52,question,en,0.0,1.0,0.5,0.5
b7745,-1,question,en,0.0,1.0,0.5,0.5
b7740,-1,question,en,0.0,1.0,0.5,0.5
b1959,184|60|52|56|58,question,en,0.0,1.0,0.5,0.5
b7741,-1,question,en,0.0,1.0,0.5,0.5
b7742,-1,question,en,0.0,1.0,0.5,0.5
b7743,-1,question,en,0.0,1.0,0.5,0.5
b7744,-1,question,en,0.0,1.0,0.5,0.5
b7739,-1,question,en,0.0,1.0,0.5,0.5
b1952,52|56|185|67,question,en,0.0,1.0,0.5,0.5
b1953,52|55|185|59,question,en,0.0,1.0,0.5,0.5
b11262,-1,question,en,0.0,1.0,0.5,0.5
b7731,-1,question,en,0.0,1.0,0.5,0.5
b1962,179|184|64|55|56|58,question,en,0.0,1.0,0.5,0.5
b1963,53|182|59|52|58,question,en,0.0,1.0,0.5,0.5
b7730,-1,question,en,0.0,1.0,0.5,0.5
b5701,147|179|148|150|159|176|153|149,question,en,0.0,1.0,0.5,0.5
b7732,-1,question,en,0.0,1.0,0.5,0.5
b7733,-1,question,en,0.0,1.0,0.5,0.5
b7734,-1,question,en,0.0,1.0,0.5,0.5
b7735,-1,question,en,0.0,1.0,0.5,0.5
b7736,-1,question,en,0.0,1.0,0.5,0.5
b7737,-1,question,en,0.0,1.0,0.5,0.5
b7738,-1,question,en,0.0,1.0,0.5,0.5
b7773,-1,question,en,0.0,1.0,0.5,0.5
b7765,-1,question,en,0.0,1.0,0.5,0.5
b7766,-1,question,en,0.0,1.0,0.5,0.5
b7767,-1,question,en,0.0,1.0,0.5,0.5
b7768,-1,question,en,0.0,1.0,0.5,0.5
b7769,-1,question,en,0.0,1.0,0.5,0.5
b7770,-1,question,en,0.0,1.0,0.5,0.5
b7771,-1,question,en,0.0,1.0,0.5,0.5
b7772,-1,question,en,0.0,1.0,0.5,0.5
b7764,-1,question,en,0.0,1.0,0.5,0.5
b7774,-1,question,en,0.0,1.0,0.5,0.5
b7775,-1,question,en,0.0,1.0,0.5,0.5
b7776,-1,question,en,0.0,1.0,0.5,0.5
b7777,-1,question,en,0.0,1.0,0.5,0.5
b7746,-1,question,en,0.0,1.0,0.5,0.5
b7747,-1,question,en,0.0,1.0,0.5,0.5
b7748,-1,question,en,0.0,1.0,0.5,0.5
b5688,147|156|157|176|149|151,question,en,0.0,1.0,0.5,0.5
b2012,179|183|57|52|56|62,question,en,0.0,1.0,0.5,0.5
b2015,53|57|182|59|56,question,en,0.0,1.0,0.5,0.5
b7749,-1,question,en,0.0,1.0,0.5,0.5
b5690,147|179|150|146|176|153|149|151,question,en,0.0,1.0,0.5,0.5
b7762,-1,question,en,0.0,1.0,0.5,0.5
b7763,-1,question,en,0.0,1.0,0.5,0.5
b2001,179|184|57|64|52|55,question,en,0.0,1.0,0.5,0.5
b5699,149|148|179|146|176|153|158,question,en,0.0,1.0,0.5,0.5
b1430,184|53|181|54|52,question,en,0.0,1.0,0.5,0.5
b11263,-1,question,en,0.0,1.0,0.5,0.5
b7761,-1,question,en,0.0,1.0,0.5,0.5
b7760,-1,question,en,0.0,1.0,0.5,0.5
b7759,-1,question,en,0.0,1.0,0.5,0.5
b7758,-1,question,en,0.0,1.0,0.5,0.5
b7757,-1,question,en,0.0,1.0,0.5,0.5
b7756,-1,question,en,0.0,1.0,0.5,0.5
b7755,-1,question,en,0.0,1.0,0.5,0.5
b7754,-1,question,en,0.0,1.0,0.5,0.5
b7753,-1,question,en,0.0,1.0,0.5,0.5
b7752,-1,question,en,0.0,1.0,0.5,0.5
b7751,-1,question,en,0.0,1.0,0.5,0.5
b7750,-1,question,en,0.0,1.0,0.5,0.5
b1480,53|185|181|56|52,question,en,0.0,1.0,0.5,0.5
b7697,-1,question,en,0.0,1.0,0.5,0.5
b7698,-1,question,en,0.0,1.0,0.5,0.5
b7699,-1,question,en,0.0,1.0,0.5,0.5
b7687,85|120|74|143,question,en,0.0,1.0,0.5,0.5
b7688,85|78|77|143,question,en,0.0,1.0,0.5,0.5
b11266,-1,question,en,0.0,1.0,0.5,0.5
b1916,183|66|53|52|56,question,en,0.0,1.0,0.5,0.5
b1920,179|183|53|63|52|54,question,en,0.0,1.0,0.5,0.5
b11265,-1,question,en,0.0,1.0,0.5,0.5
b11267,-1,question,en,0.0,1.0,0.5,0.5
b7696,-1,question,en,0.0,1.0,0.5,0.5
b7583,83,question,en,0.0,1.0,0.5,0.5
b8370,-1,question,en,0.0,1.0,0.5,0.5
b8371,-1,question,en,0.0,1.0,0.5,0.5
b8372,-1,question,en,0.0,1.0,0.5,0.5
b8373,-1,question,en,0.0,1.0,0.5,0.5
b8374,-1,question,en,0.0,1.0,0.5,0.5
b8375,-1,question,en,0.0,1.0,0.5,0.5
b8376,-1,question,en,0.0,1.0,0.5,0.5
b8377,-1,question,en,0.0,1.0,0.5,0.5
b8369,-1,question,en,0.0,1.0,0.5,0.5
b8346,-1,question,en,0.0,1.0,0.5,0.5
b8347,-1,question,en,0.0,1.0,0.5,0.5
b8348,-1,question,en,0.0,1.0,0.5,0.5
b8362,-1,question,en,0.0,1.0,0.5,0.5
b8363,-1,question,en,0.0,1.0,0.5,0.5
b8364,-1,question,en,0.0,1.0,0.5,0.5
b8365,-1,question,en,0.0,1.0,0.5,0.5
b8354,-1,question,en,0.0,1.0,0.5,0.5
b7658,83,question,en,0.0,1.0,0.5,0.5
b8349,-1,question,en,0.0,1.0,0.5,0.5
b8350,-1,question,en,0.0,1.0,0.5,0.5
b8351,-1,question,en,0.0,1.0,0.5,0.5
b8352,-1,question,en,0.0,1.0,0.5,0.5
b8353,-1,question,en,0.0,1.0,0.5,0.5
b8355,-1,question,en,0.0,1.0,0.5,0.5
b8356,-1,question,en,0.0,1.0,0.5,0.5
b8357,-1,question,en,0.0,1.0,0.5,0.5
b8358,-1,question,en,0.0,1.0,0.5,0.5
b8359,-1,question,en,0.0,1.0,0.5,0.5
b8360,-1,question,en,0.0,1.0,0.5,0.5
b8361,-1,question,en,0.0,1.0,0.5,0.5
b1457,183|53|57|185|181|52,question,en,0.0,1.0,0.5,0.5
b11260,-1,question,en,0.0,1.0,0.5,0.5
b11261,-1,question,en,0.0,1.0,0.5,0.5
b11259,-1,question,en,0.0,1.0,0.5,0.5
b1458,183|185|181|56|54|52,question,en,0.0,1.0,0.5,0.5
b7714,-1,question,en,0.0,1.0,0.5,0.5
b7715,-1,question,en,0.0,1.0,0.5,0.5
b7716,-1,question,en,0.0,1.0,0.5,0.5
b7717,-1,question,en,0.0,1.0,0.5,0.5
b11268,-1,question,en,0.0,1.0,0.5,0.5
b11264,-1,question,en,0.0,1.0,0.5,0.5
b7718,-1,question,en,0.0,1.0,0.5,0.5
b11269,-1,question,en,0.0,1.0,0.5,0.5
